h,ansatz,seed,abs_E_error
0.03787878787878788,StronglyEntangling (random),0,0.0064648845495618446
0.4166666666666667,StronglyEntangling (random),0,0.791174199376961
0.8333333333333334,StronglyEntangling (random),0,3.3339363234689294
1.25,StronglyEntangling (random),0,8.121895164886507
1.6666666666666667,StronglyEntangling (random),0,13.964342125897826
2.0833333333333335,StronglyEntangling (random),0,20.157004450108303
2.5,StronglyEntangling (random),0,26.51346873395356
2.916666666666667,StronglyEntangling (random),0,32.96076195515054
3.3333333333333335,StronglyEntangling (random),0,39.46390425181605
3.75,StronglyEntangling (random),0,16.02496827675305
0.03787878787878788,StronglyEntangling (random),1,0.006471560269776688
0.4166666666666667,StronglyEntangling (random),1,0.791169431005379
0.8333333333333334,StronglyEntangling (random),1,3.333982099836117
1.25,StronglyEntangling (random),1,8.121888489166292
1.6666666666666667,StronglyEntangling (random),1,13.964323052411498
2.0833333333333335,StronglyEntangling (random),1,20.156993006016506
2.5,StronglyEntangling (random),1,26.513480178045356
2.916666666666667,StronglyEntangling (random),1,32.9607772139396
3.3333333333333335,StronglyEntangling (random),1,39.46391569590784
3.75,StronglyEntangling (random),1,46.00389302803479
0.03787878787878788,StronglyEntangling (random),2,0.0072392680944837196
0.4166666666666667,StronglyEntangling (random),2,0.7911474964961016
0.8333333333333334,StronglyEntangling (random),2,3.3339830535104333
1.25,StronglyEntangling (random),2,8.121872276702913
1.6666666666666667,StronglyEntangling (random),2,13.964318284039916
2.0833333333333335,StronglyEntangling (random),2,20.15697107150723
2.5,StronglyEntangling (random),2,26.51438140027436
2.916666666666667,StronglyEntangling (random),2,32.962540557750636
3.3333333333333335,StronglyEntangling (random),2,39.4639013907931
3.75,StronglyEntangling (random),2,46.003931175007445
0.03787878787878788,StronglyEntangling (random),3,0.006456301480714188
0.4166666666666667,StronglyEntangling (random),3,0.7915394566401446
0.8333333333333334,StronglyEntangling (random),3,3.333965887372738
1.25,StronglyEntangling (random),3,8.121889442840608
1.6666666666666667,StronglyEntangling (random),3,13.368093499188841
2.0833333333333335,StronglyEntangling (random),3,19.270317171360745
2.5,StronglyEntangling (random),3,25.329957953619086
2.916666666666667,StronglyEntangling (random),3,31.42766182697671
3.3333333333333335,StronglyEntangling (random),3,37.57843481517054
3.75,StronglyEntangling (random),3,16.00893510414563
0.03787878787878788,HVA + warm-start,0,1.4327763774694837
0.4166666666666667,HVA + warm-start,0,0.8750775120600665
0.8333333333333334,HVA + warm-start,0,0.2032695906808435
1.25,HVA + warm-start,0,0.025122017303498723
1.6666666666666667,HVA + warm-start,0,0.00863648319763044
2.0833333333333335,HVA + warm-start,0,0.005731676365627436
